"取引No","取引日","借方勘定科目","借方補助科目","借方部門","借方取引先","借方税区分","借方インボイス","借方金額(円)","貸方勘定科目","貸方補助科目","貸方部門","貸方取引先","貸方税区分","貸方インボイス","貸方金額(円)","摘要","タグ","メモ"
"14","2025/10/01","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","43417113","","","","","","","","","",""
"14","2025/10/01","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","12364437","","","","","","","","","",""
"14","2025/10/01","普通預金","きらぼし銀行（法人）","","","対象外","","54512","","","","","","","","","",""
"14","2025/10/01","売掛金","西村あさひ法律事務所","","","対象外","","1579776","","","","","","","","","",""
"14","2025/10/01","売掛金","綿半パートナーズ㈱","","","対象外","","1250480","","","","","","","","","",""
"14","2025/10/01","売掛金","㈱テシード","","","対象外","","114170","","","","","","","","","",""
"14","2025/10/01","売掛金","InnoJin㈱","","","対象外","","4951584","","","","","","","","","",""
"14","2025/10/01","売掛金","㈱ショクリュー","","","対象外","","68512","","","","","","","","","",""
"14","2025/10/01","売掛金","㈱root64","","","対象外","","128936","","","","","","","","","",""
"14","2025/10/01","売掛金","㈱BizMed Consulting","","","対象外","","225280","","","","","","","","","",""
"14","2025/10/01","売掛金","デジタルギア㈱","","","対象外","","1126400","","","","","","","","","",""
"14","2025/10/01","","","","","","","","貸倒引当金","","","","対象外","","55000","","",""
"14","2025/10/01","立替金","","","","対象外","","521489","","","","","","","","","",""
"14","2025/10/01","工具器具備品","","","","対象外","","1794914","","","","","","","","","",""
"14","2025/10/01","車両運搬具","カローラクロスZ","","","対象外","","1691542","","","","","","","","","",""
"14","2025/10/01","車両運搬具","レクサス　NX350ｈ","","","対象外","","4599755","","","","","","","","","",""
"14","2025/10/01","投資有価証券","RYZEN","","","対象外","","490000","","","","","","","","","",""
"14","2025/10/01","出資金","","","","対象外","","200000","","","","","","","","","",""
"14","2025/10/01","長期前払費用","西京信用金庫　保証料","","","対象外","","27274","","","","","","","","","",""
"14","2025/10/01","長期前払費用","倒産防止共済","","","対象外","","7200000","","","","","","","","","",""
"14","2025/10/01","長期前払費用","西京信用金庫⑤","","","対象外","","391532","","","","","","","","","",""
"14","2025/10/01","長期前払費用","カローラクロスZ　割賦手数料","","","対象外","","324799","","","","","","","","","",""
"14","2025/10/01","長期前払費用","レクサス　NX350ｈ　割賦手数料","","","対象外","","842181","","","","","","","","","",""
